ἡ χώρα: τὴν ________; τὴν χώρᾱν<br><br>τῆς χώρᾱς
ὁ Ἀτρείδης: τοῖς ________; τοῖς Ἀτρείδαις<br><br>τοῦ Ἀτρείδου
ὁ Ἀτρείδης: τοῖν ________; τοῖν Ἀτρείδαιν<br><br>τοῦ Ἀτρείδου
ὁ Ἀτρείδης: τὼ ________; τὼ Ἀτρείδᾱ<br><br>τοῦ Ἀτρείδου
ἡ μνᾶ: τὴν ________; τὴν μνᾶν<br><br>τῆς (μνάᾱς) μνᾶς
ἡ μνᾶ: τῆς ________; τῆς (μνάᾱς) μνᾶς<br><br>τῆς (μνάᾱς) μνᾶς
ἡ μνᾶ: ἡ ________; ἡ μνᾶ<br><br>τῆς (μνάᾱς) μνᾶς
ἡ μνᾶ: τῇ ________; τῇ μνᾷ<br><br>τῆς (μνάᾱς) μνᾶς
ἡ μνᾶ: ῶ ________; ῶ μνᾶ<br><br>τῆς (μνάᾱς) μνᾶς
ἡ μνᾶ: τὰς ________; τὰς μνᾶς<br><br>τῆς (μνάᾱς) μνᾶς
ἡ μνᾶ: τῶν ________; τῶν μνῶν<br><br>τῆς (μνάᾱς) μνᾶς
ἡ μνᾶ: αἱ ________; αἱ μναῖ<br><br>τῆς (μνάᾱς) μνᾶς
ἡ μνᾶ: ταῖς ________; ταῖς μναῖς<br><br>τῆς (μνάᾱς) μνᾶς
ἡ μνᾶ: τοῖν ________; τοῖν μναῖν<br><br>τῆς (μνάᾱς) μνᾶς
ἡ μνᾶ: τὼ ________; τὼ μνᾶ<br><br>τῆς (μνάᾱς) μνᾶς
ἡ συκῆ: τὴν ________; τὴν συκῆν<br><br>τῆς (σῡκέᾱς) σῡκῆς
ἡ συκῆ: τῆς ________; τῆς (σῡκέᾱς) σῡκῆς<br><br>τῆς (σῡκέᾱς) σῡκῆς
ἡ συκῆ: ἡ ________; ἡ σῡκῆ<br><br>τῆς (σῡκέᾱς) σῡκῆς
ἡ συκῆ: τῇ ________; τῇ συκῇ<br><br>τῆς (σῡκέᾱς) σῡκῆς
ἡ συκῆ: ῶ ________; ῶ σῡκῆ<br><br>τῆς (σῡκέᾱς) σῡκῆς
ἡ συκῆ: τὰς ________; τὰς συκᾶς<br><br>τῆς (σῡκέᾱς) σῡκῆς
ἡ συκῆ: τῶν ________; τῶν συκῶν<br><br>τῆς (σῡκέᾱς) σῡκῆς
ἡ συκῆ: αἱ ________; αἱ συκαῖ<br><br>τῆς (σῡκέᾱς) σῡκῆς
ἡ συκῆ: ταῖς ________; ταῖς συκαῖς<br><br>τῆς (σῡκέᾱς) σῡκῆς
ἡ συκῆ: τοῖν ________; τοῖν συκαῖν<br><br>τῆς (σῡκέᾱς) σῡκῆς
ἡ συκῆ: τὼ ________; τὼ συκᾶ<br><br>τῆς (σῡκέᾱς) σῡκῆς
ὁ Βορρᾶς: τὸν ________; τὸν Βορρᾶν<br><br>τοῦ (Βορέᾱ) Βορρᾶ / Βορροῦ
ὁ Βορρᾶς: τοῦ ________; τοῦ (Βορέᾱ) Βορρᾶ / Βορροῦ<br><br>τοῦ (Βορέᾱ) Βορρᾶ / Βορροῦ
ὁ Βορρᾶς: ῶ ________; ῶ Βορρᾶ<br><br>τοῦ (Βορέᾱ) Βορρᾶ / Βορροῦ
ὁ Βορρᾶς: ὁ ________; ὁ (Βορέᾱς) Βορρᾶς<br><br>τοῦ (Βορέᾱ) Βορρᾶ / Βορροῦ
ὁ Βορρᾶς: τῷ ________; τῷ Βορρᾷ<br><br>τοῦ (Βορέᾱ) Βορρᾶ / Βορροῦ
ὁ Ἑρμῆς: τὸν ________; τὸν (Ἑρμέην) Ἑρμῆν<br><br>τοῦ Ἑρμοῦ
ὁ Ἑρμῆς: τοῦ ________; τοῦ Ἑρμοῦ<br><br>τοῦ Ἑρμοῦ
ὁ Ἑρμῆς: ῶ ________; ῶ Ἑρμῆ<br><br>τοῦ Ἑρμοῦ
ὁ Ἑρμῆς: ὁ ________; ὁ Ἑρμῆς<br><br>τοῦ Ἑρμοῦ
ὁ Ἑρμῆς: τῷ ________; τῷ Ἑρμῇ / Ἑρμέᾳ<br><br>τοῦ Ἑρμοῦ
ὁ ἵππος: τὸν ________; τὸν ἵππον<br><br>τοῦ ἵππου
ὁ ἵππος: τοῦ ________; τοῦ ἵππου<br><br>τοῦ ἵππου
ὁ ἵππος: ὁ ________; ὁ ἵππος<br><br>τοῦ ἵππου
ὁ ἵππος: τῷ ________; τῷ ἵππῳ<br><br>τοῦ ἵππου
ὁ ἵππος: ῶ ________; ῶ ἵππε<br><br>τοῦ ἵππου
ὁ ἵππος: τοὺς ________; τοὺς ἵππους<br><br>τοῦ ἵππου
ὁ ἵππος: τῶν ________; τῶν ἵππων<br><br>τοῦ ἵππου
ὁ ἵππος: οἱ ________; οἱ ἵπποι<br><br>τοῦ ἵππου
ὁ ἵππος: τοῖς ________; τοῖς ἵπποις<br><br>τοῦ ἵππου
ὁ ἵππος: τοῖν ________; τοῖν ἵπποιν<br><br>τοῦ ἵππου
ὁ ἵππος: τὼ ________; τὼ ἵππω<br><br>τοῦ ἵππου
ὁ ἄνθρωπος: τὸν ________; τὸν ἄνθρωπον<br><br>τοῦ ἀνθρώπου
ὁ ἄνθρωπος: τοῦ ________; τοῦ ἀνθρώπου<br><br>τοῦ ἀνθρώπου
ὁ ἄνθρωπος: ὁ ________; ὁ ἄνθρωπος<br><br>τοῦ ἀνθρώπου
ὁ ἄνθρωπος: τῷ ________; τῷ ἀνθρώπῳ<br><br>τοῦ ἀνθρώπου
ὁ ἄνθρωπος: ῶ ________; ῶ ἄνθρωπε<br><br>τοῦ ἀνθρώπου
ὁ ἄνθρωπος: τοὺς ________; τοὺς ἀνθρώπους<br><br>τοῦ ἀνθρώπου
ὁ ἄνθρωπος: τῶν ________; τῶν ἀνθρώπων<br><br>τοῦ ἀνθρώπου
ὁ ἄνθρωπος: οἱ ________; οἱ ἄνθρωποι<br><br>τοῦ ἀνθρώπου
ὁ ἄνθρωπος: τοῖς ________; τοῖς ἀνθρώποις<br><br>τοῦ ἀνθρώπου
ὁ ἄνθρωπος: τοῖν ________; τοῖν ἀνθρώποιν<br><br>τοῦ ἀνθρώπου
ὁ ἄνθρωπος: τὼ ________; τὼ ἀνθρώπω<br><br>τοῦ ἀνθρώπου
ἡ ὁδός: τὴν ________; τὴν ὁδόν<br><br>τῆς ὁδοῦ
ἡ ὁδός: τῆς ________; τῆς ὁδοῦ<br><br>τῆς ὁδοῦ
ἡ ὁδός: ἡ ________; ἡ ὁδός<br><br>τῆς ὁδοῦ
ἡ ὁδός: τῇ ________; τῇ ὁδῷ<br><br>τῆς ὁδοῦ
ἡ ὁδός: ῶ ________; ῶ ὁδέ<br><br>τῆς ὁδοῦ
ἡ ὁδός: τὰς ________; τὰς ὁδούς<br><br>τῆς ὁδοῦ
ἡ ὁδός: τῶν ________; τῶν ὁδῶν<br><br>τῆς ὁδοῦ
ἡ ὁδός: αἱ ________; αἱ ὁδοί<br><br>τῆς ὁδοῦ
ἡ ὁδός: ταῖς ________; ταῖς ὁδοῖς<br><br>τῆς ὁδοῦ
ἡ ὁδός: τοῖν ________; τοῖν ὁδοῖν<br><br>τῆς ὁδοῦ
ἡ ὁδός: τὼ ________; τὼ ὁδώ<br><br>τῆς ὁδοῦ
τὸ δῶρον: τοῦ ________; τοῦ δώρου<br><br>τοῦ δώρου
τὸ δῶρον: τὸ ________; τὸ δῶρον<br><br>τοῦ δώρου
τὸ δῶρον: τῷ ________; τῷ δώρῳ<br><br>τοῦ δώρου
τὸ δῶρον: ῶ ________; ῶ δῶρον<br><br>τοῦ δώρου
τὸ δῶρον: τῶν ________; τῶν δώρων<br><br>τοῦ δώρου
τὸ δῶρον: τὰ ________; τὰ δῶρᾰ<br><br>τοῦ δώρου
τὸ δῶρον: τοῖς ________; τοῖς δώροις<br><br>τοῦ δώρου
τὸ δῶρον: τοῖν ________; τοῖν δώροιν<br><br>τοῦ δώρου
τὸ δῶρον: τὼ ________; τὼ δώρω<br><br>τοῦ δώρου
ὁ νοῦς: τὸν ________; τὸν (νόον) νοῦν<br><br>τοῦ (νόου) νοῦ
ὁ νοῦς: τοῦ ________; τοῦ (νόου) νοῦ<br><br>τοῦ (νόου) νοῦ
ὁ νοῦς: ὁ ________; ὁ (νόος) νοῦς<br><br>τοῦ (νόου) νοῦ
ὁ νοῦς: τῷ ________; τῷ (νόῳ) νῷ<br><br>τοῦ (νόου) νοῦ
ὁ νοῦς: ῶ ________; ῶ (νόε) νοῦ<br><br>τοῦ (νόου) νοῦ
ὁ νοῦς: τοὺς ________; τοὺς (νόους) νοῦς<br><br>τοῦ (νόου) νοῦ
ὁ νοῦς: τῶν ________; τῶν (νόων) νῶν<br><br>τοῦ (νόου) νοῦ
ὁ νοῦς: οἱ ________; οἱ (νόοι) νοῖ<br><br>τοῦ (νόου) νοῦ
ὁ νοῦς: τοῖς ________; τοῖς (νόοις) νοῖς<br><br>τοῦ (νόου) νοῦ
ὁ νοῦς: τοῖν ________; τοῖν (νόοιν) νοῖν<br><br>τοῦ (νόου) νοῦ
ὁ νοῦς: τὼ ________; τὼ (νόω) νώ<br><br>τοῦ (νόου) νοῦ
ὁ περίπλους: τὸν ________; τὸν (περίπλοον) περίπλουν<br><br>τοῦ (περιπλόου) περίπλου
ὁ περίπλους: τοῦ ________; τοῦ (περιπλόου) περίπλου<br><br>τοῦ (περιπλόου) περίπλου
ὁ περίπλους: ὁ ________; ὁ (περίπλοος) περίπλους<br><br>τοῦ (περιπλόου) περίπλου
ὁ περίπλους: τῷ ________; τῷ (περιπλόῳ) περίπλῳ<br><br>τοῦ (περιπλόου) περίπλου
ὁ περίπλους: ῶ ________; ῶ (περίπλοε) περίπλου<br><br>τοῦ (περιπλόου) περίπλου
ὁ περίπλους: τοὺς ________; τοὺς (περιπλόους) περίπλους<br><br>τοῦ (περιπλόου) περίπλου
ὁ περίπλους: τῶν ________; τῶν (περιπλόων) περίπλων<br><br>τοῦ (περιπλόου) περίπλου
ὁ περίπλους: οἱ ________; οἱ (περίπλοοι) περίπλοι<br><br>τοῦ (περιπλόου) περίπλου
ὁ περίπλους: τοῖς ________; τοῖς (περιπλόοις) περίπλοις<br><br>τοῦ (περιπλόου) περίπλου
ὁ περίπλους: τοῖν ________; τοῖν (περιπλόοιν) περίπλοιν<br><br>τοῦ (περιπλόου) περίπλου
ὁ περίπλους: τὼ ________; τὼ (περιπλόω) περίπλω<br><br>τοῦ (περιπλόου) περίπλου
τὸ ὀστοῦν: τοῦ ________; τοῦ (ὀστέου) ὀστοῦ<br><br>τοῦ (ὀστέου) ὀστοῦ
τὸ ὀστοῦν: ῶ ________; ῶ ὀστοῦν<br><br>τοῦ (ὀστέου) ὀστοῦ
τὸ ὀστοῦν: τὸ ________; τὸ ὀστοῦν<br><br>τοῦ (ὀστέου) ὀστοῦ
τὸ ὀστοῦν: τῷ ________; τῷ ὀστῷ<br><br>τοῦ (ὀστέου) ὀστοῦ
τὸ ὀστοῦν: τῶν ________; τῶν ὀστῶν<br><br>τοῦ (ὀστέου) ὀστοῦ
τὸ ὀστοῦν: τὰ ________; τὰ ὀστᾶ<br><br>τοῦ (ὀστέου) ὀστοῦ
τὸ ὀστοῦν: τοῖς ________; τοῖς ὀστοῖς<br><br>τοῦ (ὀστέου) ὀστοῦ
τὸ ὀστοῦν: τοῖν ________; τοῖν ὀστοῖν<br><br>τοῦ (ὀστέου) ὀστοῦ
τὸ ὀστοῦν: τὼ ________; τὼ ὀστώ<br><br>τοῦ (ὀστέου) ὀστοῦ
ὁ νεώς: τὸν ________; τὸν (νηόν) νεών<br><br>τοῦ (νηοῦ) νεώ
ὁ νεώς: τοῦ ________; τοῦ (νηοῦ) νεώ<br><br>τοῦ (νηοῦ) νεώ
ὁ νεώς: ὁ ________; ὁ (νηός) νεώς<br><br>τοῦ (νηοῦ) νεώ
ὁ νεώς: τῷ ________; τῷ (νηῷ) νεῴ<br><br>τοῦ (νηοῦ) νεώ
ὁ νεώς: ῶ ________; ῶ νεώς<br><br>τοῦ (νηοῦ) νεώ
ὁ νεώς: τοὺς ________; τοὺς (νηούς) νεώς<br><br>τοῦ (νηοῦ) νεώ
ὁ νεώς: τῶν ________; τῶν (νηῶν) νεών<br><br>τοῦ (νηοῦ) νεώ
ὁ νεώς: οἱ ________; οἱ (νηοί) νεῴ<br><br>τοῦ (νηοῦ) νεώ
ὁ νεώς: τοῖς ________; τοῖς (νηοῖς) νεῴς<br><br>τοῦ (νηοῦ) νεώ
ὁ νεώς: τοῖν ________; τοῖν (νηοῖν) νεῴν<br><br>τοῦ (νηοῦ) νεώ
ὁ νεώς: τὼ ________; τὼ (νηώ) νεώ<br><br>τοῦ (νηοῦ) νεώ
ὁ Αἰθίοψ: τὸν ________; τὸν Αἰθίοπᾰ<br><br>τοῦ Αἰθίοπος
ὁ Αἰθίοψ: τοῦ ________; τοῦ Αἰθίοπος<br><br>τοῦ Αἰθίοπος
ὁ Αἰθίοψ: ὁ ________; ὁ Αἰθίοψ<br><br>τοῦ Αἰθίοπος
ὁ Αἰθίοψ: τῷ ________; τῷ Αἰθίοπῐ<br><br>τοῦ Αἰθίοπος
ὁ Αἰθίοψ: ῶ ________; ῶ Αἰθίοψ<br><br>τοῦ Αἰθίοπος
ὁ Αἰθίοψ: τοὺς ________; τοὺς Αἰθίοπᾰς<br><br>τοῦ Αἰθίοπος
ὁ Αἰθίοψ: τῶν ________; τῶν Αἰθιόπων<br><br>τοῦ Αἰθίοπος
ὁ Αἰθίοψ: οἱ ________; οἱ Αἰθίοπες<br><br>τοῦ Αἰθίοπος
ὁ Αἰθίοψ: τοῖς ________; τοῖς Αἰθίοπῐ(ν)<br><br>τοῦ Αἰθίοπος
ὁ Αἰθίοψ: τοῖν ________; τοῖν Αἰθιόποιν<br><br>τοῦ Αἰθίοπος
ὁ Αἰθίοψ: τὼ ________; τὼ Αἰθίοπε<br><br>τοῦ Αἰθίοπος
ἡ φλέψ: τὴν ________; τὴν φλέβᾰ<br><br>τῆς φλεβός
ἡ φλέψ: τῆς ________; τῆς φλεβός<br><br>τῆς φλεβός
ἡ φλέψ: ἡ ________; ἡ φλέψ<br><br>τῆς φλεβός
ἡ φλέψ: τῇ ________; τῇ φλεβί<br><br>τῆς φλεβός
ἡ φλέψ: ῶ ________; ῶ φλέψ<br><br>τῆς φλεβός
ἡ φλέψ: τὰς ________; τὰς φλέβᾰς<br><br>τῆς φλεβός
ἡ φλέψ: τῶν ________; τῶν φλεβῶν<br><br>τῆς φλεβός
ἡ φλέψ: αἱ ________; αἱ φλέβες<br><br>τῆς φλεβός
ἡ φλέψ: ταῖς ________; ταῖς φλεψί(ν)<br><br>τῆς φλεβός
ἡ φλέψ: τοῖν ________; τοῖν φλεβοῖν<br><br>τῆς φλεβός
ἡ φλέψ: τὼ ________; τὼ φλέβε<br><br>τῆς φλεβός
ὁ φύλαξ: τὸν ________; τὸν φύλακᾰ<br><br>τοῦ φύλακος
ὁ φύλαξ: τοῦ ________; τοῦ φύλακος<br><br>τοῦ φύλακος
ὁ φύλαξ: ὁ ________; ὁ φύλαξ<br><br>τοῦ φύλακος
ὁ φύλαξ: τῷ ________; τῷ φύλακῐ<br><br>τοῦ φύλακος
ὁ φύλαξ: ῶ ________; ῶ φύλαξ<br><br>τοῦ φύλακος
ὁ φύλαξ: τοὺς ________; τοὺς φύλακᾰς<br><br>τοῦ φύλακος
ὁ φύλαξ: τῶν ________; τῶν φυλάκων<br><br>τοῦ φύλακος
ὁ φύλαξ: οἱ ________; οἱ φύλακες<br><br>τοῦ φύλακος
ὁ φύλαξ: τοῖς ________; τοῖς φύλαξῐ(ν)<br><br>τοῦ φύλακος
ὁ φύλαξ: τοῖν ________; τοῖν φυλάκοιν<br><br>τοῦ φύλακος
ὁ φύλαξ: τὼ ________; τὼ φύλακε<br><br>τοῦ φύλακος
ἡ φάλαγξ: τὴν ________; τὴν φάλαγγᾰ<br><br>τῆς φάλαγγος
ἡ φάλαγξ: τῆς ________; τῆς φάλαγγος<br><br>τῆς φάλαγγος
ἡ φάλαγξ: ἡ ________; ἡ φάλαγξ<br><br>τῆς φάλαγγος
ἡ φάλαγξ: τῇ ________; τῇ φάλαγγῐ<br><br>τῆς φάλαγγος
ἡ φάλαγξ: ῶ ________; ῶ φάλαγξ<br><br>τῆς φάλαγγος
ἡ φάλαγξ: τὰς ________; τὰς φάλαγγᾰς<br><br>τῆς φάλαγγος
ἡ φάλαγξ: τῶν ________; τῶν φαλάγγων<br><br>τῆς φάλαγγος
ἡ φάλαγξ: αἱ ________; αἱ φάλαγγες<br><br>τῆς φάλαγγος
ἡ φάλαγξ: ταῖς ________; ταῖς φάλαγγῐ(ν)<br><br>τῆς φάλαγγος
ἡ φάλαγξ: τοῖν ________; τοῖν φαλάγγοιν<br><br>τῆς φάλαγγος
ἡ φάλαγξ: τὼ ________; τὼ φάλαγγε<br><br>τῆς φάλαγγος
ὁ/ἡ αἴξ: τὸν/τὴν ________; τὸν/τὴν αἶγᾰ<br><br>τοῦ/τῆς αἰγός
ὁ/ἡ αἴξ: τοῦ/τῆς ________; τοῦ/τῆς αἰγός<br><br>τοῦ/τῆς αἰγός
ὁ/ἡ αἴξ: ὁ/ἡ ________; ὁ/ἡ αἴξ<br><br>τοῦ/τῆς αἰγός
ὁ/ἡ αἴξ: τῷ/τῇ ________; τῷ/τῇ αἰγί<br><br>τοῦ/τῆς αἰγός
